iter	MultiClass
0	1.0874202
1	1.07514113
2	1.064369932
3	1.056407032
4	1.045602301
5	1.035060463
6	1.023512771
7	1.011399072
8	1.000653782
9	0.9928213151
10	0.983137887
11	0.9771168106
12	0.9665540808
13	0.9578270658
14	0.9487563204
15	0.9406407835
16	0.9350957698
17	0.9298851258
18	0.9250210123
19	0.9196828886
20	0.915454939
21	0.909148393
22	0.904187034
23	0.8981901199
24	0.8919751584
25	0.8872242833
26	0.8830878447
27	0.8778954616
28	0.8733397405
29	0.8686490886
30	0.8651264944
31	0.8621238074
32	0.8592047559
33	0.8542308109
34	0.850422386
35	0.8470568897
36	0.8427923247
37	0.8383406639
38	0.8336673735
39	0.8285157224
40	0.8240012764
41	0.8203011913
42	0.8175886614
43	0.8131906948
44	0.8094021405
45	0.8064211308
46	0.8028910716
47	0.8010736024
48	0.7967902677
49	0.7939071169
50	0.7909447351
51	0.7884337538
52	0.7873373975
53	0.7835884807
54	0.7800666017
55	0.7761166841
56	0.7741278093
57	0.7715046764
58	0.7697688966
59	0.768164188
60	0.7672714192
61	0.7648314205
62	0.7623245433
63	0.7595843782
64	0.757558048
65	0.7563474835
66	0.7532116133
67	0.7510361465
68	0.7492812879
69	0.7468959249
70	0.744382257
71	0.7411775225
72	0.738826219
73	0.7369931205
74	0.7353225938
75	0.7331567031
76	0.7306139544
77	0.7283315332
78	0.7249421004
79	0.7227408286
80	0.7209499532
81	0.7199918307
82	0.7186079435
83	0.7168621527
84	0.71547738
85	0.713969397
86	0.7121776065
87	0.7106758847
88	0.7095897978
89	0.7080147967
90	0.7047613865
91	0.702885518
92	0.7003639909
93	0.6978251557
94	0.6960157141
95	0.6943151036
96	0.6929664145
97	0.6897922894
98	0.6880005446
99	0.685698832
